行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
莎车县|315国道南侧与和平路交界|4.930000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f3e433f2-1bca-46d9-b91a-9b6ce1070a8f|莎车县|6531252019B00317|棚改安置房项目|315国道南侧与和平路交界|4.930000|4.930000|城镇住宅用地|挂牌出让|70|房地产业|二级|2588.2500|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月10日|2021年09月30日|||莎车县|2019年06月01日
莎车县|315国道与纳菲莎路十字东北角|0.730000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f8ad11dc-3881-4960-b9bb-a61cc2636595|莎车县|6531252019B00326|棚改安置房项目|315国道与纳菲莎路十字东北角|0.730000|0.730000|城镇住宅用地|挂牌出让|70|房地产业|二级|383.2500|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月10日|2021年09月20日|||莎车县|2019年06月01日
新北区|河海街道，巫山路东侧、汉江路南侧、老澡港河以西、珠江路北侧|13.203400|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=894BDD09A186606FE055000000000001|新北区|3204112019B00321|无锡嘉睿置业有限公司商住项目|河海街道，巫山路东侧、汉江路南侧、老澡港河以西、珠江路北侧|13.203400|13.203400|城镇住宅用地|挂牌出让|70|房地产业|六级|402000.0000|无锡嘉睿置业有限公司|1.00|2.30|2019年09月24日|2020年05月30日|2023年05月30日|||常州市人民政府|2019年06月01日
魏县|科教路以北、兴源大街以西|4.677155|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=79b1aa57-42f0-41ff-817d-08c8f54cc8dc|魏县|1304342019B00341|魏县恒鑫房地产开发有限公司|科教路以北、兴源大街以西|4.677155|4.677155|城镇住宅用地|挂牌出让|70|房地产业|三级|7983.0000|魏县恒鑫房地产开发有限公司|1.00|2.00|2019年07月29日|2020年07月28日|2023年07月27日|||魏县|2019年06月01日
新和县|新和县火车站路南侧、乌喀路西侧|5.335300|其他商服用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=db387b15-c26b-4686-ac95-c1389f0568c6|新和县|6529252019B00027|新和县浙商商贸城（一期）建设项目|新和县火车站路南侧、乌喀路西侧|5.335300|0.000000|其他商服用地|挂牌出让|40|商务服务业|三级|1323.1544|新和浙商房地产开发有限公司||1.00|2019年05月13日|2019年06月01日|2020年05月30日|||新和县人民政府|2019年06月01日
莎车县|迎宾路泰和城小区南侧|4.000000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ddfe11ee-4719-475e-a41f-3c38343e23f0|莎车县|6531252019B00267|商住用地|迎宾路泰和城小区南侧|4.000000|0.000000|城镇住宅用地|挂牌出让|其他商服用地40年; 城镇住宅用地70年;|房地产业|二级|2160.0000|莎车县城建房地产开发有限公司|1.00|1.80|2019年05月10日|2019年06月20日|2021年05月30日|||莎车县|2019年06月01日
宁德市本级|南起疏港路、北至鉴湖西路、西至福宁北路、东至西陂塘路|6.657300|公园与绿地|划拨|2019/5/31|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=edeb1d91-a683-4934-9416-6939da110c34|宁德市本级|3509002019A00075|西陂公园三期景观工程|南起疏港路、北至鉴湖西路、西至福宁北路、东至西陂塘路|6.657300|0.000000|公园与绿地|划拨||公共设施管理业|十一级|||||2019年05月31日|2020年05月31日|2022年05月31日|||宁德市人民政府|2019年05月31日
福鼎市|龙安开发区西岙村|26.657400|公园与绿地|划拨|2019/5/31|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=174d2400-4956-44d0-a6d1-95e206da97aa|福鼎市|3509822019A00390|福鼎市龙安开发区西澳片区里洋公园绿地项目|龙安开发区西岙村|26.657400|0.000000|公园与绿地|划拨||中国共产党机关|十二级||||0.08|2020年05月31日|2021年05月31日|2023年05月31日|||福鼎市人民政府|2019年05月31日
平潭县|苏澳镇友谊村南侧|1.000000|医疗卫生用地|挂牌出让|2019/5/31|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=382490b5-e58f-4f8b-946a-197711352ad2|平潭县|3501282019B00346|苏澳精神病医院|苏澳镇友谊村南侧|1.000000|0.000000|医疗卫生用地|挂牌出让|50|社会保障业|十三等级|570.0000|福建邦威医疗投资有限公司|0.10|2.00|2019年07月15日|2020年07月15日|2022年07月15日||||2019年05月31日
福鼎市|福鼎市双岳项目区|5.608900|公园与绿地|划拨|2019/5/31|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=eb37cdf6-75a9-4924-9307-4c148192c7af|福鼎市|3509822019A00388|福鼎市双岳项目区湖岐屿山体公园项目|福鼎市双岳项目区|5.608900|0.000000|公园与绿地|划拨||中国共产党机关|十二级||||0.08|2020年05月31日|2021年05月31日|2023年05月31日|||福鼎市人民政府|2019年05月31日
