行政区|供应公告标题|公告类型|发布时间|相关链接|宗地编号|宗地总面积|宗地坐落|出让年限|容积率|建筑密度|绿化率|建筑限高|土地用途明细|投资强度|保证金|估价报告备案号|起始价|加价幅度|挂牌开始时间|挂牌截止时间|现状土地条件|交纳竞买保证金的截止时间|行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
义乌市|义乌市自然资源和规划局国有建设用地使用权挂牌出让公告(义土挂〔2019〕41号)|挂牌|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8501&sitePath=|义乌高新区EQ-03-06-A（人才社区）地块|56088.98平方米|义乌市苏溪镇|70年|大于或等于2.5并且小于或等于2.9||||城镇住宅用地|0万元/公顷|2020万元||6730万元|50万元|2019年06月23日09时00分|2019年07月03日14时00分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-82|198平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|26万元||26万元|5万元|2019年06月21日08时30分|2019年07月03日11时10分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-87|161平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|21万元||21万元|5万元|2019年06月21日08时30分|2019年07月03日14时40分||2019年07月01日16时00分|||||||||||||||||||||||||||||
桐乡市|桐乡市自然资源和规划局国有建设用地使用权挂牌出让公告(桐土告字[2019]24号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8565&sitePath=|桐土储[2019]15号|14939.07平方米|桐乡市复兴南路东侧、康乐路北侧|70年|大于1并且小于或等于1.5|大于或等于0并且小于或等于30|大于或等于30|小于或等于24|城镇住宅用地|0万元/公顷|2400万元||11800万元|150万元|2019年06月24日08时30分|2019年07月05日10时00分||2019年07月03日16时00分|桐乡市|龙城镇S301北、农场路（小东环）东侧|14939.07平方米|城镇住宅用地|拍卖出让|2019/6/7|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d66a6071-bef4-419c-8fce-bb5564f615bd|萧县|3413222019B00376|宿州融翔置业有限公司|龙城镇S301北、农场路（小东环）东侧|4.000000|0.000000|城镇住宅用地|拍卖出让|城镇住宅用地70年; 零售商业用地40年;|房地产业|三级|7080.0000|宿州融翔置业有限公司|1.50|1.80|2019年07月07日|2020年07月07日|2022年07月07日|||萧县|2019年06月07日
|||||||||||||||||||||||萧县|龙城镇S301北、农场路（小东环）东侧|4.000000|城镇住宅用地|拍卖出让|2019/6/7|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=d66a6071-bef4-419c-8fce-bb5564f615bd|萧县|3413222019B00376|宿州融翔置业有限公司|龙城镇S301北、农场路（小东环）东侧|4.000000|0.000000|城镇住宅用地|拍卖出让|城镇住宅用地70年; 零售商业用地40年;|房地产业|三级|7080.0000|宿州融翔置业有限公司|1.50|1.80|2019年07月07日|2020年07月07日|2022年07月07日|||萧县|2019年06月07日
象山县|象山县自然资源和规划局国有建设用地使用权拍卖出让公告(象自然资规出工告字〔2019〕12号)|拍卖|2019/5/30|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8492&sitePath=|贤庠镇西泽塘工业地块十五|13334平方米|贤庠镇西泽塘|50年|大于或等于0.9并且小于或等于2|小于或等于55||小于或等于24|工业用地|4050万元/公顷|201万元||401万元|1万元||||2019年06月19日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||福安市|福安经济开发区大留东山村半垅地块|0.908800|工业用地|挂牌出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=40666266-5ef2-48db-a7c8-62b5da2f5107|福安市|3509812019B02428|福安经济开发区大留东山村半垅地块（2018-32）|福安经济开发区大留东山村半垅地块|0.908800|0.000000|工业用地|挂牌出让|50|造纸及纸质品业|十二级|302.0000|福安市惠丰包装制品有限公司|1.20|1.60|2019年08月06日|2020年02月06日|2022年02月06日|||福安市|2019年06月06日
|||||||||||||||||||||||奉节县|奉节县永安街道魏家社区、冒峰社区|6.533800|城镇住宅用地|拍卖出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=85d2357a-153f-4b1e-8309-c673d73d2f61|奉节县|5002362019B00089|集美江畔二期工程|奉节县永安街道魏家社区、冒峰社区|6.533800|4.738100|城镇住宅用地|拍卖出让|70|房地产业|二级|36600.0000|重庆江骏房地产开发有限公司|1.00|2.00|2019年06月12日|2019年09月12日|2022年03月12日|||奉节县|2019年06月04日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-90|169平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|22万元||22万元|5万元|2019年06月21日08时30分|2019年07月03日15时40分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||滨海县|界牌镇民营创业园|2.162980|工业用地|挂牌出让|2019/6/11|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=89D9DDA45A117EDCE055000000000001|滨海县|3209222019B00661|盐城昌隆科技有限公司|界牌镇民营创业园|2.162980|2.162980|工业用地|挂牌出让|50|金属制品业|未评估地区|343.9100|盐城昌隆科技有限公司|0.70||2020年06月25日|2021年07月15日|2023年07月18日|||滨海县人民政府|2019年06月11日
